Url,Brand,Model,Movement,Limited,Case Material,Glass,Case Back,Case Shape,Case Diameter,Water Resistance,Dial Color,Dial Indexes,Dial Hands,Price
https://watchbase.com/patek-philippe/twenty-4/4920r-001,Patek Philippe,Twenty~4,Patek Philippe caliber E15,No,Rose Gold,Sapphire,Closed,Rectangular,25.1,30.0,Brown,Mixed,Feuille,21200.0
https://watchbase.com/patek-philippe/twenty-4/4909-102r,Patek Philippe,Twenty~4,Patek Philippe caliber  16-250,Yes,Rose Gold,Sapphire,Open,Rectangular,42.0,30.0,See-through,Roman Numerals,Feuille,
https://watchbase.com/patek-philippe/twenty-4/4909-50g-001,Patek Philippe,Twenty~4,Patek Philippe caliber  16-250,No,White Gold,Sapphire,Closed,Rectangular,22.0,30.0,Paved,Roman Numerals,Feuille,124750.0
https://watchbase.com/patek-philippe/twenty-4/7300-1200a-010-t,Patek Philippe,Twenty~4,Patek Philippe caliber 324 S C,No,Stainless Steel,Sapphire,Open,Round,36.0,30.0,Black,Arabic Numerals,Baton,
https://watchbase.com/patek-philippe/twenty-4/7300-1200r-001,Patek Philippe,Twenty~4,Patek Philippe caliber 324 S C,No,Rose Gold,Sapphire,Open,Round,36.0,30.0,Brown,Arabic Numerals,Baton,
https://watchbase.com/patek-philippe/twenty-4/4910-10a-t,Patek Philippe,Twenty~4,Patek Philippe caliber E15,No,Stainless Steel,Sapphire,Closed,Rectangular,25.1,30.0,White,Mixed,Feuille,
https://watchbase.com/patek-philippe/twenty-4/7300-1201r-001,Patek Philippe,Twenty~4,Patek Philippe caliber 324 S C,No,Rose Gold,Sapphire,Open,Round,36.0,30.0,Silver,Arabic Numerals,Baton,
https://watchbase.com/patek-philippe/twenty-4/4909-103r,Patek Philippe,Twenty~4,Patek Philippe caliber  16-250,Yes,Rose Gold,Sapphire,Open,Rectangular,42.0,30.0,Paved,Roman Numerals,Feuille,
https://watchbase.com/patek-philippe/twenty-4/4909-110g,Patek Philippe,Twenty~4,Patek Philippe caliber  16-250,Yes,White Gold,Sapphire,Open,Rectangular,42.0,30.0,Paved,Roman Numerals,Feuille,
https://watchbase.com/patek-philippe/twenty-4/4910-1200a-011,Patek Philippe,Twenty~4,Patek Philippe caliber E15,No,Stainless Steel,Sapphire,Closed,Rectangular,25.1,30.0,Green,Mixed,Baton,
https://watchbase.com/patek-philippe/twenty-4/4910-10a-011,Patek Philippe,Twenty~4,Patek Philippe caliber E15,No,Stainless Steel,Sapphire,Closed,Rectangular,25.1,30.0,White,Mixed,Feuille,11500.0
https://watchbase.com/patek-philippe/twenty-4/4910-10a-010,Patek Philippe,Twenty~4,Patek Philippe caliber E15,No,Stainless Steel,Sapphire,Closed,Rectangular,25.1,30.0,Grey,Mixed,Feuille,11500.0
https://watchbase.com/patek-philippe/twenty-4/7300-1200r-011,Patek Philippe,Twenty~4,Patek Philippe caliber 324 S C,No,Rose Gold,Sapphire,Open,Round,36.0,30.0,Champagne,Arabic Numerals,Baton,
https://watchbase.com/patek-philippe/twenty-4/7300-1200r-010,Patek Philippe,Twenty~4,Patek Philippe caliber 324 S C,No,Rose Gold,Sapphire,Open,Round,36.0,30.0,Silver,Arabic Numerals,Baton,
https://watchbase.com/patek-philippe/twenty-4/7300-1200a-001,Patek Philippe,Twenty~4,Patek Philippe caliber 324 S C,No,Stainless Steel,Sapphire,Open,Round,36.0,30.0,Blue,Arabic Numerals,Baton,
https://watchbase.com/patek-philippe/twenty-4/4908-11r-010,Patek Philippe,Twenty~4,Patek Philippe caliber E15,No,Rose Gold,Sapphire,Closed,Rectangular,24.0,30.0,Brown,Mixed,Feuille,32730.0
https://watchbase.com/patek-philippe/twenty-4/4909-111g,Patek Philippe,Twenty~4,Patek Philippe caliber  16-250,Yes,White Gold,Sapphire,Open,Rectangular,42.0,30.0,Paved,Roman Numerals,Feuille,
https://watchbase.com/patek-philippe/twenty-4/4910-1200a-001,Patek Philippe,Twenty~4,Patek Philippe caliber E15,No,Stainless Steel,Sapphire,Closed,Rectangular,25.1,30.0,Blue,Mixed,Baton,
https://watchbase.com/patek-philippe/twenty-4/7300-1200a-001-t,Patek Philippe,Twenty~4,Patek Philippe caliber 324 S C,No,Stainless Steel,Sapphire,Open,Round,36.0,30.0,Blue,Arabic Numerals,Baton,
https://watchbase.com/patek-philippe/twenty-4/7300-1200a-011,Patek Philippe,Twenty~4,Patek Philippe caliber 324 S C,No,Stainless Steel,Sapphire,Open,Round,36.0,30.0,Green,Arabic Numerals,Baton,
