Url,Brand,Family,Reference,Name,Movement,Produced,Limited,Case_Material,Glass,Case_Back,Case_Shape,Case_Diameter,Lug_Width,Water_Resistance,Dial_Color,Dial_Finish,Dial_Indexes,Dial_Hands,Price
https://watchbase.com/patek-philippe/gondolo/4972-1g-001,Patek Philippe,Gondolo,4972/1G-001,Gondolo Serata 4972 White Gold / Mother of Pearl / Bracelet,Patek Philippe caliber E15,,No,White Gold,Sapphire,Closed,Other,27.40 mm,,30.00 m,White,Guilloche,Arabic Numerals,Feuille,47580
https://watchbase.com/patek-philippe/gondolo/4962-200r-001,Patek Philippe,Gondolo,4962/200R-001,Gondolo Serata Rose Gold - Spessartite / Brown Floral,Patek Philippe caliber E15,2023,No,Rose Gold,Sapphire,Closed,Other,28.60 mm,,30.00 m,Brown,Gloss,Mixed,Feuille,40540
https://watchbase.com/patek-philippe/gondolo/5111j-001,Patek Philippe,Gondolo,5111J-001,Gondolo 5111 Yellow Gold,Patek Philippe caliber 215 PS,,No,Yellow Gold,Sapphire,Closed,Rectangular,30.00 mm,,30.00 m,Silver,,Arabic Numerals,Poire,N/A
https://watchbase.com/patek-philippe/gondolo/5109j-001,Patek Philippe,Gondolo,5109J-001,Gondolo 5109 Yellow Gold,Patek Philippe caliber 215 PS,2012 - 2014,No,Yellow Gold,Sapphire,Closed,Rectangular,30.00 mm,,30.00 m,White,,Arabic Numerals,Poire,N/A
https://watchbase.com/patek-philippe/gondolo/4972g-001,Patek Philippe,Gondolo,4972G-001,Gondolo Serata 4972 White Gold / Mother of Pearl,Patek Philippe caliber E15,,No,White Gold,Sapphire,Closed,Other,27.40 mm,,30.00 m,White,Guilloche,Arabic Numerals,Feuille,30460
https://watchbase.com/patek-philippe/gondolo/7099g-001,Patek Philippe,Gondolo,7099G-001,Gondolo 7099 White Gold / Silver,Patek Philippe caliber 25-21 REC,,No,White Gold,Sapphire,Open,Tonneau,29.60 mm,,30.00 m,Silver,Guilloche,Stick / Dot,Feuille,N/A
https://watchbase.com/patek-philippe/gondolo/7099r-001,Patek Philippe,Gondolo,7099R-001,Gondolo 7099 Rose Gold / Silver,Patek Philippe caliber 25-21 REC,,No,Rose Gold,Sapphire,Open,Tonneau,29.60 mm,,30.00 m,Silver,Guilloche,Stick / Dot,Feuille,101600
https://watchbase.com/patek-philippe/gondolo/7042-100r-010,Patek Philippe,Gondolo,7042/100R-010,Gondolo 7042 Rose Gold / Diamonds,Patek Philippe caliber 215,,No,Rose Gold,Sapphire,Closed,Cushion,31.00 mm,,30.00 m,Paved,,Gem-Set Indexes,Feuille,N/A
https://watchbase.com/patek-philippe/gondolo/5111r-001,Patek Philippe,Gondolo,5111R-001,Gondolo 5111 Rose Gold,Patek Philippe caliber 215 PS,,No,Rose Gold,Sapphire,Closed,Rectangular,30.00 mm,,30.00 m,Silver,,Arabic Numerals,Poire,N/A
https://watchbase.com/patek-philippe/gondolo/7042-100g-010,Patek Philippe,Gondolo,7042/100G-010,Gondolo 7042 White Gold / Diamonds,Patek Philippe caliber 215,,No,White Gold,Sapphire,Closed,Cushion,31.00 mm,,30.00 m,Paved,,Gem-Set Indexes,Feuille,N/A
https://watchbase.com/patek-philippe/gondolo/5101j-001,Patek Philippe,Gondolo,5101J-001,Gondolo 5101J,Patek Philippe caliber TO 28-20 REC 10J PS IRM,2012 - 2014,No,Yellow Gold,Sapphire,Open,Rectangular,29.60 mm,,30.00 m,Silver,,Arabic Numerals,Dauphine,N/A
